,Date-Time,Yaw[0](deg),Pitch[0](deg),Roll[0](deg),Yaw[1](deg),Pitch[1](deg),Roll[1](deg)
0,2019-10-22T17:58:37Z, 82.33,-45.60,78.42,0.00,0.60,0.00
1,2019-10-22T17:58:40Z, 81.73,-50.01,79.44,0.00,0.60,0.00
2,2019-10-22T17:58:41Z, 81.78,-49.86,79.37,0.00,0.60,0.00
3,2019-10-22T17:58:42Z, 81.80,-49.77,79.33,0.00,0.60,0.00
4,2019-10-22T17:58:43Z, 81.84,-49.63,79.26,0.00,0.60,0.00
5,2019-10-22T17:58:44Z, 81.85,-49.52,79.25,0.00,0.60,0.00
6,2019-10-22T17:58:46Z, 81.87,-49.45,79.21,0.00,0.60,0.00
7,2019-10-22T17:58:47Z, 81.88,-49.40,79.19,0.00,0.60,0.00
8,2019-10-22T17:58:48Z, 81.88,-49.35,79.19,0.00,0.60,0.00
9,2019-10-22T17:58:49Z, 81.87,-49.34,79.19,0.00,0.60,0.00
10,2019-10-22T17:58:50Z, 81.88,-49.31,79.18,0.00,0.60,0.00
11,2019-10-22T17:58:51Z, 81.90,-49.30,79.16,0.00,0.60,0.00
12,2019-10-22T17:58:52Z, 81.91,-49.26,79.14,0.00,0.60,0.00
13,2019-10-22T17:58:53Z, 81.91,-49.26,79.14,0.00,0.60,0.00
14,2019-10-22T17:58:54Z, 81.89,-49.27,79.17,0.00,0.60,0.00
15,2019-10-22T17:58:55Z, 81.89,-49.24,79.15,0.00,0.60,0.00
16,2019-10-22T17:58:56Z, 81.88,-49.24,79.16,0.00,0.60,0.00
17,2019-10-22T17:58:57Z, 81.90,-49.22,79.14,0.00,0.60,0.00
18,2019-10-22T17:58:58Z, 81.90,-49.21,79.15,0.00,0.60,0.00
19,2019-10-22T17:58:59Z, 81.89,-49.19,79.14,0.00,0.60,0.00
20,2019-10-22T17:58:59Z, 81.90,-49.19,79.14,0.00,0.60,0.00
21,2019-10-22T17:59:00Z, 81.90,-49.19,79.14,0.00,0.60,0.00
22,2019-10-22T17:59:01Z, 81.88,-49.23,79.16,0.00,0.60,0.00
23,2019-10-22T17:59:03Z, 81.88,-49.21,79.15,0.00,0.60,0.00
24,2019-10-22T17:59:04Z, 81.88,-49.21,79.14,0.00,0.60,0.00
25,2019-10-22T17:59:05Z, 81.87,-49.21,79.14,0.00,0.60,0.00
26,2019-10-22T17:59:06Z, 81.88,-49.20,79.13,0.00,0.60,0.00
27,2019-10-22T17:59:07Z, 81.88,-49.20,79.13,0.00,0.60,0.00
28,2019-10-22T17:59:08Z, 81.87,-49.21,79.14,0.00,0.60,0.00
29,2019-10-22T17:59:09Z, 81.86,-49.21,79.15,0.00,0.60,0.00
30,2019-10-22T17:59:10Z, 81.86,-49.20,79.15,0.00,0.60,0.00
31,2019-10-22T17:59:11Z, 81.84,-49.23,79.17,0.00,0.60,0.00
32,2019-10-22T17:59:12Z, 81.83,-49.24,79.18,0.00,0.60,0.00
33,2019-10-22T17:59:13Z, 81.82,-49.24,79.18,0.00,0.60,0.00
34,2019-10-22T17:59:14Z, 81.82,-49.25,79.19,0.00,0.60,0.00
35,2019-10-22T17:59:15Z, 81.82,-49.24,79.18,0.00,0.60,0.00
36,2019-10-22T17:59:16Z, 81.81,-49.25,79.19,0.00,0.60,0.00
37,2019-10-22T17:59:17Z, 81.81,-49.26,79.19,0.00,0.60,0.00
38,2019-10-22T17:59:18Z, 81.81,-49.25,79.18,0.00,0.60,0.00
39,2019-10-22T17:59:19Z, 81.79,-49.27,79.20,0.00,0.60,0.00
40,2019-10-22T17:59:20Z, 81.80,-49.25,79.18,0.00,0.60,0.00
41,2019-10-22T17:59:21Z, 81.84,-49.21,79.13,0.00,0.60,0.00
42,2019-10-22T17:59:22Z, 81.82,-49.24,79.17,0.00,0.60,0.00
43,2019-10-22T17:59:23Z, 81.81,-49.25,79.17,0.00,0.60,0.00
44,2019-10-22T17:59:24Z, 81.81,-49.27,79.17,0.00,0.60,0.00
45,2019-10-22T17:59:25Z, 81.80,-49.27,79.19,0.00,0.60,0.00
46,2019-10-22T17:59:26Z, 81.80,-49.26,79.18,0.00,0.60,0.00
47,2019-10-22T17:59:27Z, 81.82,-49.25,79.15,0.00,0.60,0.00
48,2019-10-22T17:59:28Z, 81.81,-49.27,79.17,0.00,0.60,0.00
49,2019-10-22T17:59:29Z, 81.81,-49.30,79.18,0.00,0.60,0.00
50,2019-10-22T17:59:29Z, 81.80,-49.32,79.20,0.00,0.60,0.00
51,2019-10-22T17:59:31Z, 81.80,-49.33,79.20,0.00,0.60,0.00
52,2019-10-22T17:59:32Z, 81.80,-49.32,79.20,0.00,0.60,0.00
53,2019-10-22T17:59:33Z, 81.81,-49.36,79.21,0.00,0.60,0.00
54,2019-10-22T17:59:34Z, 81.81,-49.34,79.20,0.00,0.60,0.00
55,2019-10-22T17:59:35Z, 81.81,-49.32,79.19,0.00,0.60,0.00
56,2019-10-22T17:59:36Z, 81.81,-49.30,79.19,0.00,0.60,0.00
57,2019-10-22T17:59:37Z, 81.81,-49.30,79.19,0.00,0.60,0.00
58,2019-10-22T17:59:38Z, 81.80,-49.30,79.19,0.00,0.60,0.00
59,2019-10-22T17:59:39Z, 81.80,-49.29,79.19,0.00,0.60,0.00
60,2019-10-22T17:59:40Z, 81.82,-49.25,79.16,0.00,0.60,0.00
61,2019-10-22T17:59:41Z, 81.83,-49.24,79.14,0.00,0.60,0.00
62,2019-10-22T17:59:42Z, 81.83,-49.24,79.14,0.00,0.60,0.00
63,2019-10-22T17:59:42Z, 81.84,-49.22,79.12,0.00,0.60,0.00
64,2019-10-22T17:59:43Z, 81.84,-49.22,79.12,0.00,0.60,0.00
65,2019-10-22T17:59:44Z, 81.85,-49.18,79.10,0.00,0.60,0.00
66,2019-10-22T17:59:46Z, 81.83,-49.17,79.12,0.00,0.60,0.00
67,2019-10-22T17:59:47Z, 81.83,-49.17,79.11,0.00,0.60,0.00
68,2019-10-22T17:59:48Z, 81.83,-49.18,79.12,0.00,0.60,0.00
69,2019-10-22T17:59:49Z, 81.87,-49.19,79.10,0.00,0.60,0.00
70,2019-10-22T17:59:50Z, 81.88,-49.20,79.09,0.00,0.60,0.00
71,2019-10-22T17:59:51Z, 81.87,-49.18,79.09,0.00,0.60,0.00
72,2019-10-22T17:59:52Z, 81.86,-49.17,79.10,0.00,0.60,0.00
73,2019-10-22T17:59:53Z, 81.84,-49.19,79.11,0.00,0.60,0.00
74,2019-10-22T17:59:54Z, 81.85,-49.22,79.12,0.00,0.60,0.00
75,2019-10-22T17:59:55Z, 81.83,-49.20,79.13,0.00,0.60,0.00
76,2019-10-22T17:59:57Z, 81.82,-49.19,79.14,0.00,0.60,0.00
77,2019-10-22T17:59:58Z, 81.83,-49.20,79.13,0.00,0.60,0.00
78,2019-10-22T17:59:59Z, 81.84,-49.21,79.13,0.00,0.60,0.00
79,2019-10-22T18:00:00Z, 81.81,-49.21,79.15,0.00,0.60,0.00
80,2019-10-22T18:00:01Z, 81.80,-49.22,79.16,0.00,0.60,0.00
81,2019-10-22T18:00:02Z, 81.80,-49.22,79.16,0.00,0.60,0.00
82,2019-10-22T18:00:04Z, 81.81,-49.20,79.13,0.00,0.60,0.00
83,2019-10-22T18:00:05Z, 81.80,-49.23,79.16,0.00,0.60,0.00
84,2019-10-22T18:00:05Z, 81.80,-49.25,79.16,0.00,0.60,0.00
85,2019-10-22T18:00:06Z, 81.80,-49.23,79.15,0.00,0.60,0.00
86,2019-10-22T18:00:07Z, 81.81,-49.23,79.13,0.00,0.60,0.00
87,2019-10-22T18:00:08Z, 81.81,-49.23,79.14,0.00,0.60,0.00
88,2019-10-22T18:00:09Z, 81.79,-49.24,79.16,0.00,0.60,0.00
89,2019-10-22T18:00:10Z, 81.76,-49.24,79.19,0.00,0.60,0.00
90,2019-10-22T18:00:11Z, 81.77,-49.22,79.17,0.00,0.60,0.00
91,2019-10-22T18:00:12Z, 81.78,-49.23,79.16,0.00,0.60,0.00
92,2019-10-22T18:00:13Z, 81.77,-49.22,79.15,0.00,0.60,0.00
93,2019-10-22T18:00:14Z, 81.80,-49.20,79.11,0.00,0.60,0.00
94,2019-10-22T18:00:15Z, 81.81,-49.22,79.11,0.00,0.60,0.00
95,2019-10-22T18:00:15Z, 81.80,-49.22,79.12,0.00,0.60,0.00
96,2019-10-22T18:00:16Z, 81.78,-49.23,79.14,0.00,0.60,0.00
97,2019-10-22T18:00:18Z, 81.78,-49.27,79.15,0.00,0.60,0.00
98,2019-10-22T18:00:18Z, 81.77,-49.29,79.17,0.00,0.60,0.00
99,2019-10-22T18:00:20Z, 81.75,-49.29,79.20,0.00,0.60,0.00
100,2019-10-22T18:00:21Z, 81.75,-49.28,79.19,0.00,0.60,0.00
101,2019-10-22T18:00:22Z, 81.76,-49.27,79.18,0.00,0.60,0.00
102,2019-10-22T18:00:22Z, 81.76,-49.25,79.18,0.00,0.60,0.00
103,2019-10-22T18:00:23Z, 81.76,-49.27,79.18,0.00,0.60,0.00
104,2019-10-22T18:00:24Z, 81.78,-49.24,79.15,0.00,0.60,0.00
105,2019-10-22T18:00:25Z, 81.77,-49.23,79.15,0.00,0.60,0.00
106,2019-10-22T18:00:26Z, 81.79,-49.20,79.13,0.00,0.60,0.00
107,2019-10-22T18:00:28Z, 81.80,-49.18,79.11,0.00,0.60,0.00
108,2019-10-22T18:00:29Z, 81.79,-49.21,79.14,0.00,0.60,0.00
109,2019-10-22T18:00:30Z, 81.75,-49.20,79.17,0.00,0.60,0.00
110,2019-10-22T18:00:31Z, 81.75,-49.21,79.17,0.00,0.60,0.00
111,2019-10-22T18:00:32Z, 81.75,-49.22,79.17,0.00,0.60,0.00
112,2019-10-22T18:00:33Z, 81.76,-49.20,79.16,0.00,0.60,0.00
113,2019-10-22T18:00:34Z, 81.78,-49.17,79.12,0.00,0.60,0.00
114,2019-10-22T18:00:35Z, 81.78,-49.18,79.13,0.00,0.60,0.00
115,2019-10-22T18:00:36Z, 81.79,-49.18,79.13,0.00,0.60,0.00
116,2019-10-22T18:00:37Z, 81.75,-49.20,79.17,0.00,0.60,0.00
117,2019-10-22T18:00:39Z, 81.74,-49.20,79.17,0.00,0.60,0.00
118,2019-10-22T18:00:39Z, 81.77,-49.17,79.14,0.00,0.60,0.00
119,2019-10-22T18:00:41Z, 81.77,-49.18,79.13,0.00,0.60,0.00
120,2019-10-22T18:00:42Z, 81.77,-49.16,79.12,0.00,0.60,0.00
121,2019-10-22T18:00:43Z, 81.75,-49.21,79.15,0.00,0.60,0.00
122,2019-10-22T18:00:44Z, 81.76,-49.22,79.14,0.00,0.60,0.00
123,2019-10-22T18:00:45Z, 81.76,-49.21,79.14,0.00,0.60,0.00
124,2019-10-22T18:00:46Z, 81.75,-49.17,79.12,0.00,0.60,0.00
125,2019-10-22T18:00:47Z, 81.77,-49.15,79.09,0.00,0.60,0.00
126,2019-10-22T18:00:48Z, 81.77,-49.12,79.08,0.00,0.60,0.00
127,2019-10-22T18:00:49Z, 81.75,-49.14,79.09,0.00,0.60,0.00
