Date-Time,Yaw[0](deg),Pitch[0](deg),Roll[0](deg),Yaw[1](deg),Pitch[1](deg),Roll[1](deg),DeltaYaw,DeltaPitch,DeltaRoll
2020-11-10 11:44:09.409000+00:00,103.25,0.0,0.0,103.25,0.0,0.0,0.0,0.0,0.0
2020-11-10 11:44:09.410000+00:00,0.0,217.6,0.4,0.0,0.0,25.6,180.0,-37.6,154.8
2020-11-10 11:44:09.580000+00:00,0.0,217.6,0.4,0.0,0.0,25.6,180.0,-37.6,154.8
2020-11-10 11:44:09.589000+00:00,103.25,0.0,0.0,103.25,0.0,0.0,0.0,0.0,0.0
2020-11-10 11:44:09.679000+00:00,103.25,0.0,0.0,103.25,0.0,0.0,0.0,0.0,0.0
2020-11-10 11:44:09.941000+00:00,103.25,0.0,0.0,103.25,0.0,0.0,0.0,0.0,0.0
2020-11-10 11:44:10.073000+00:00,103.25,0.0,0.0,103.25,0.0,0.0,0.0,0.0,0.0
2020-11-10 11:44:10.085000+00:00,103.25,0.0,0.0,103.25,0.0,0.0,0.0,0.0,0.0
2020-11-10 11:44:10.089000+00:00,103.25,0.0,0.0,103.25,0.0,0.0,0.0,0.0,0.0
2020-11-10 11:44:10.180000+00:00,103.25,0.0,0.0,103.25,0.0,0.0,0.0,0.0,0.0
