RTC: 07/14/19 14:27:28.566, 268.61, -11.15, 10.71,318.59, -1.93, -3.80,49.09, 13.41, -2.27
RTC: 07/14/19 14:27:28.667, 266.75, -10.16, 11.32,315.63, -1.58, 0.03,47.88, 13.59, 0.11
RTC: 07/14/19 14:27:28.768, 267.03, -9.66, 9.75,315.93, 0.91, -0.41,48.19, 14.58, 0.38
RTC: 07/14/19 14:27:28.869, 266.78, -10.95, 13.30,317.08, -4.23, -2.78,49.00, 12.94, -3.06
RTC: 07/14/19 14:27:28.969, 266.17, -11.43, 14.66,317.03, -4.67, -2.90,49.33, 13.84, -3.55
RTC: 07/14/19 14:27:29.070, 265.78, -11.25, 15.28,317.23, -4.22, -2.88,49.84, 14.64, -3.90
RTC: 07/14/19 14:27:29.171, 265.49, -10.95, 15.71,317.11, -4.36, -3.67,49.96, 14.66, -5.14
RTC: 07/14/19 14:27:29.272, 265.87, -11.30, 15.84,317.14, -4.22, -4.17,49.56, 15.10, -5.58
RTC: 07/14/19 14:27:29.373, 267.47, -12.58, 14.77,317.83, -3.50, -4.78,48.72, 15.80, -4.80
RTC: 07/14/19 14:27:29.474, 268.26, -12.69, 14.00,318.08, -3.17, -4.56,48.30, 15.64, -4.16
RTC: 07/14/19 14:27:29.575, 268.00, -12.10, 14.10,317.98, -3.54, -4.28,48.48, 14.97, -4.33
RTC: 07/14/19 14:27:29.676, 267.57, -11.54, 13.37,317.73, -3.10, -4.51,48.81, 14.49, -4.44
RTC: 07/14/19 14:27:29.776, 267.08, -10.76, 12.39,317.52, -2.84, -4.40,49.29, 13.51, -4.17
RTC: 07/14/19 14:27:29.877, 266.50, -9.93, 12.03,317.30, -2.72, -4.16,49.75, 12.83, -4.22
RTC: 07/14/19 14:27:29.978, 266.29, -9.16, 11.09,317.36, -1.90, -3.89,50.18, 12.45, -3.85
RTC: 07/14/19 14:27:30.079, 266.57, -9.12, 10.42,317.38, -0.90, -2.67,50.02, 12.91, -2.29
RTC: 07/14/19 14:27:30.180, 266.49, -8.61, 8.64,316.99, 3.77, 2.46,50.03, 15.90, 3.56
RTC: 07/14/19 14:27:30.280, 266.79, -8.02, 7.63,317.86, 6.80, 7.60,50.85, 17.77, 9.05
RTC: 07/14/19 14:27:30.381, 267.07, -7.65, 7.12,319.04, 8.57, 11.73,51.90, 18.88, 13.41
RTC: 07/14/19 14:27:30.482, 267.37, -7.05, 6.35,320.65, 10.88, 16.02,53.40, 20.17, 17.96
RTC: 07/14/19 14:27:30.583, 267.90, -6.08, 5.84,322.80, 12.85, 20.92,55.09, 21.12, 22.63
RTC: 07/14/19 14:27:30.684, 268.25, -5.24, 5.58,324.35, 13.77, 24.44,56.23, 21.32, 25.74
RTC: 07/14/19 14:27:30.785, 268.49, -4.68, 5.27,325.49, 14.65, 26.70,57.13, 21.61, 27.81
