Date-Time,Yaw[0](deg),Pitch[0](deg),Roll[0](deg),Yaw[1](deg),Pitch[1](deg),Roll[1](deg)
2020-10-22 12:05:41.194000+00:00,202.01,-8.77,-41.59,351.88,-20.56,-18.03
2020-10-22 12:05:41.314000+00:00,201.73,-9.18,-41.59,351.13,-20.33,-18.55
2020-10-22 12:05:41.377000+00:00,201.47,-9.01,-41.88,350.32,-19.97,-18.88
2020-10-22 12:05:41.488000+00:00,200.87,-8.96,-42.26,349.14,-19.33,-18.89
2020-10-22 12:05:41.849000+00:00,200.05,-7.51,-43.34,346.69,-17.94,-18.19
2020-10-22 12:05:41.849000+00:00,200.28,-8.11,-42.53,347.76,-18.66,-18.43
2020-10-22 12:05:41.858000+00:00,199.8,-7.36,-43.32,346.02,-17.43,-18.21
2020-10-22 12:05:41.859000+00:00,199.56,-9.3,-43.86,345.98,-14.43,-20.89
2020-10-22 12:05:41.969000+00:00,198.44,-14.94,-43.21,346.02,-10.75,-25.54
2020-10-22 12:05:42.148000+00:00,196.91,-20.75,-44.77,346.7,-10.56,-31.08
2020-10-22 12:05:42.149000+00:00,197.05,-17.46,-48.1,345.44,-9.52,-30.69
2020-10-22 12:05:42.269000+00:00,196.81,-12.16,-49.88,343.42,-7.67,-27.61
2020-10-22 12:05:42.387000+00:00,197.51,-9.23,-54.46,341.95,-2.74,-23.56
2020-10-22 12:05:42.508000+00:00,197.59,-8.88,-57.09,341.31,0.28,-21.87
2020-10-22 12:05:42.571000+00:00,197.52,-12.04,-52.6,341.49,-2.03,-22.93
2020-10-22 12:05:42.753000+00:00,197.98,-11.78,-50.75,341.52,-4.19,-23.06
2020-10-22 12:05:42.880000+00:00,198.4,-11.92,-48.55,341.68,-5.79,-22.73
2020-10-22 12:05:42.888000+00:00,199.04,-9.64,-48.89,341.72,-6.43,-21.47
2020-10-22 12:05:43.109000+00:00,199.52,-9.89,-47.81,341.86,-7.3,-21.22
2020-10-22 12:05:43.112000+00:00,199.62,-8.44,-47.33,341.63,-8.64,-20.47
2020-10-22 12:05:43.170000+00:00,199.85,-8.36,-47.0,341.37,-9.13,-20.22
2020-10-22 12:05:43.297000+00:00,200.15,-8.84,-46.3,341.26,-9.36,-20.39
2020-10-22 12:05:43.410000+00:00,200.6,-8.73,-46.18,341.3,-9.44,-20.47
