Date-Time,Yaw[0](deg),Pitch[0](deg),Roll[0](deg),Yaw[1](deg),Pitch[1](deg),Roll[1](deg)
2020-10-22 12:37:49.823000+00:00,91.75,-17.44,15.67,308.12,-45.22,-61.66
2020-10-22 12:37:50.059000+00:00,91.59,-14.09,7.1,294.63,-37.76,-49.62
2020-10-22 12:37:50.060000+00:00,94.5,-7.6,-1.75,290.51,-34.47,-40.75
2020-10-22 12:37:50.149000+00:00,101.46,-3.29,-8.01,290.05,-29.01,-33.39
2020-10-22 12:37:50.249000+00:00,117.63,4.32,-10.83,298.73,-11.23,-14.54
2020-10-22 12:37:50.363000+00:00,138.4,16.09,-21.78,325.79,17.39,11.55
2020-10-22 12:37:50.410000+00:00,147.34,17.3,-36.15,344.95,35.99,23.3
2020-10-22 12:37:50.625000+00:00,160.81,2.22,-40.0,339.54,11.29,-3.25
2020-10-22 12:37:50.757000+00:00,160.32,2.99,-38.9,337.79,7.23,-0.92
2020-10-22 12:37:50.811000+00:00,164.61,5.28,-38.61,339.69,6.12,-1.22
2020-10-22 12:37:50.919000+00:00,172.46,-15.39,-39.72,345.57,5.14,-21.56
2020-10-22 12:37:51.101000+00:00,165.55,-28.13,-31.63,337.22,7.46,-35.77
2020-10-22 12:37:51.220000+00:00,160.58,-23.51,-29.82,330.28,14.72,-33.15
2020-10-22 12:37:51.311000+00:00,166.34,-15.42,-40.73,334.13,19.66,-23.78
2020-10-22 12:37:51.581000+00:00,167.78,-17.31,-43.58,331.56,24.71,-25.07
2020-10-22 12:37:51.582000+00:00,172.24,-20.51,-50.93,329.07,31.25,-31.74
2020-10-22 12:37:52.032000+00:00,163.91,-21.47,-35.91,320.65,25.4,-29.96
2020-10-22 12:37:52.032000+00:00,154.5,-10.13,-31.52,316.22,21.92,-18.37
2020-10-22 12:37:52.235000+00:00,149.35,-5.76,-37.52,312.01,24.98,-13.42
2020-10-22 12:37:52.269000+00:00,149.92,-3.07,-44.0,314.79,32.77,-7.39
2020-10-22 12:37:52.390000+00:00,153.49,-2.69,-51.78,323.03,46.24,-3.94
2020-10-22 12:37:52.449000+00:00,160.82,-0.36,-58.94,332.66,53.24,0.39
2020-10-22 12:37:52.629000+00:00,167.18,-1.8,-58.59,337.24,57.21,1.88
2020-10-22 12:37:52.630000+00:00,176.3,-8.68,-49.77,332.25,48.88,-9.58
2020-10-22 12:37:52.751000+00:00,179.95,-20.77,-41.3,330.14,29.76,-24.31
2020-10-22 12:37:53.484000+00:00,170.82,-30.53,-35.99,318.07,22.64,-35.78
2020-10-22 12:37:53.497000+00:00,163.7,-22.0,-34.59,314.81,19.12,-27.51
2020-10-22 12:37:53.504000+00:00,161.51,-13.12,-38.36,315.05,24.92,-17.17
2020-10-22 12:37:53.513000+00:00,158.65,-2.96,-46.88,319.15,35.52,-4.17
2020-10-22 12:37:53.521000+00:00,159.84,0.47,-51.88,324.38,40.06,0.63
2020-10-22 12:37:53.522000+00:00,164.95,-2.86,-56.82,327.59,44.64,-2.85
2020-10-22 12:37:53.529000+00:00,169.39,-5.24,-55.61,328.12,42.14,-7.11
2020-10-22 12:37:53.562000+00:00,171.39,0.19,-55.18,333.08,45.66,0.85
2020-10-22 12:37:53.741000+00:00,178.08,-1.33,-50.68,333.75,46.9,0.78
2020-10-22 12:37:53.800000+00:00,192.7,-18.07,-45.84,337.62,30.34,-19.99
2020-10-22 12:37:53.891000+00:00,182.08,-26.12,-37.02,325.06,16.96,-29.38
2020-10-22 12:37:53.980000+00:00,171.68,-23.62,-35.52,318.2,4.38,-29.61
2020-10-22 12:37:54.041000+00:00,168.78,-14.34,-40.64,316.77,3.05,-19.29
2020-10-22 12:37:54.162000+00:00,176.22,-20.6,-47.87,326.79,10.54,-24.93
2020-10-22 12:37:54.250000+00:00,183.79,-39.42,-56.33,324.87,21.78,-47.34
2020-10-22 12:37:54.460000+00:00,185.72,-45.82,-54.0,323.38,22.52,-55.16
