Date-Time,Yaw[0](deg),Pitch[0](deg),Roll[0](deg),Yaw[1](deg),Pitch[1](deg),Roll[1](deg)
2020-10-22 18:42:15.685000+00:00,214.91,-55.55,-66.23,344.48,39.88,-85.17
2020-10-22 18:42:15.803000+00:00,165.07,-38.86,-25.18,346.46,14.13,-62.46
2020-10-22 18:42:15.888000+00:00,162.08,-27.96,-20.83,343.84,15.42,-52.83
2020-10-22 18:42:16.123000+00:00,169.07,-10.68,-40.1,351.66,31.4,-29.23
2020-10-22 18:42:16.293000+00:00,164.73,-0.43,-37.14,349.68,24.99,-17.14
2020-10-22 18:42:16.384000+00:00,161.51,4.23,-35.84,346.33,24.55,-12.8
2020-10-22 18:42:16.532000+00:00,156.7,2.41,-35.28,338.44,21.74,-17.49
2020-10-22 18:42:16.589000+00:00,145.57,-2.37,-28.94,319.33,24.23,-24.72
2020-10-22 18:42:16.699000+00:00,137.59,4.88,-28.12,317.45,25.1,-13.3
2020-10-22 18:42:16.889000+00:00,141.08,6.69,-29.81,322.24,21.85,-14.81
2020-10-22 18:42:16.890000+00:00,148.26,-0.93,-37.75,324.03,24.68,-27.46
2020-10-22 18:42:17.158000+00:00,168.87,-23.25,-34.88,331.35,28.47,-52.0
2020-10-22 18:42:17.191000+00:00,170.0,-28.38,-28.95,330.69,24.25,-55.97
2020-10-22 18:42:17.338000+00:00,172.03,-31.57,-26.83,333.96,21.52,-57.68
2020-10-22 18:42:17.432000+00:00,169.27,-35.8,-23.56,333.21,19.67,-60.34
2020-10-22 18:42:17.494000+00:00,166.08,-33.46,-23.93,331.86,18.7,-60.44
2020-10-22 18:42:17.625000+00:00,162.47,-27.02,-23.61,331.49,17.41,-57.78
2020-10-22 18:42:17.837000+00:00,163.85,-24.66,-26.85,332.35,18.06,-55.36
2020-10-22 18:42:17.837000+00:00,160.81,-26.21,-22.68,331.41,17.07,-56.67
2020-10-22 18:42:17.931000+00:00,169.47,-22.58,-32.24,335.63,20.97,-54.26
2020-10-22 18:42:18.086000+00:00,174.43,-14.53,-37.66,340.88,28.23,-45.63
2020-10-22 18:42:18.302000+00:00,173.68,-13.04,-45.63,340.5,43.01,-37.93
2020-10-22 18:42:18.303000+00:00,170.82,-20.53,-42.63,333.91,41.44,-45.74
2020-10-22 18:42:18.354000+00:00,167.8,-31.68,-37.45,325.58,37.78,-57.78
2020-10-22 18:42:18.461000+00:00,162.53,-38.19,-32.55,319.38,35.68,-62.03
2020-10-22 18:42:18.567000+00:00,156.64,-40.96,-27.75,313.83,34.95,-63.74
2020-10-22 18:42:18.679000+00:00,149.71,-42.22,-18.86,312.63,29.86,-61.87
2020-10-22 18:42:18.899000+00:00,158.04,-38.8,-13.33,323.59,30.63,-56.59
2020-10-22 18:42:19.019000+00:00,173.23,-52.47,-24.62,323.27,33.2,-72.92
2020-10-22 18:42:19.349000+00:00,178.44,-69.77,-29.85,323.84,23.16,-92.05
2020-10-22 18:42:19.392000+00:00,174.63,-67.06,-24.19,330.43,20.31,-88.33
2020-10-22 18:42:19.455000+00:00,171.33,-65.99,-17.56,338.25,15.97,-86.08
2020-10-22 18:42:19.622000+00:00,167.36,-66.78,-9.43,344.45,11.45,-86.11
2020-10-22 18:42:19.623000+00:00,149.16,-70.86,12.73,348.63,5.84,-89.73
2020-10-22 18:42:19.801000+00:00,122.97,-73.2,40.78,351.9,0.68,-95.95
2020-10-22 18:42:19.844000+00:00,121.18,-73.23,40.67,356.0,-0.71,-97.26
2020-10-22 18:42:19.940000+00:00,125.75,-73.25,33.74,0.28,-0.22,-95.91
2020-10-22 18:42:20.096000+00:00,117.68,-75.17,42.82,3.89,-0.6,-97.55
2020-10-22 18:42:20.146000+00:00,105.35,-76.63,54.91,7.15,-0.82,-100.52
2020-10-22 18:42:20.257000+00:00,113.64,-79.02,44.48,9.99,1.56,-101.3
2020-10-22 18:42:20.363000+00:00,127.03,-79.23,29.44,12.12,4.55,-100.1
2020-10-22 18:42:20.500000+00:00,131.81,-80.27,23.5,12.92,7.08,-99.69
2020-10-22 18:42:20.571000+00:00,124.72,-79.7,28.58,12.83,7.66,-99.59
2020-10-22 18:42:20.643000+00:00,114.25,-75.27,35.27,11.73,5.07,-97.56
2020-10-22 18:42:20.778000+00:00,99.31,-71.51,45.45,9.03,1.03,-96.25
2020-10-22 18:42:20.892000+00:00,96.37,-69.37,43.75,5.63,-0.08,-94.1
2020-10-22 18:42:21.119000+00:00,110.38,-62.42,20.26,357.72,5.46,-87.71
2020-10-22 18:42:21.183000+00:00,111.47,-58.43,13.06,352.2,7.86,-84.64
2020-10-22 18:42:21.238000+00:00,116.85,-53.14,2.13,346.77,11.49,-80.98
2020-10-22 18:42:21.390000+00:00,127.91,-46.72,-13.72,343.54,17.24,-76.28
2020-10-22 18:42:21.452000+00:00,136.71,-38.56,-25.66,343.88,22.37,-70.27
2020-10-22 18:42:21.591000+00:00,145.2,-29.95,-34.05,347.42,28.43,-62.53
2020-10-22 18:42:21.691000+00:00,151.28,-19.58,-41.45,352.9,38.56,-49.88
2020-10-22 18:42:21.749000+00:00,146.03,-3.31,-36.83,358.91,35.69,-28.62
2020-10-22 18:42:21.882000+00:00,147.25,-10.13,-38.16,354.62,39.95,-33.79
2020-10-22 18:42:21.990000+00:00,154.1,-25.47,-43.14,346.8,47.59,-48.73
2020-10-22 18:42:22.049000+00:00,152.77,-32.7,-39.62,337.42,46.5,-54.81
2020-10-22 18:42:22.169000+00:00,149.77,-38.78,-32.69,331.64,40.81,-61.21
2020-10-22 18:42:22.289000+00:00,146.64,-42.96,-22.51,332.14,30.68,-65.5
2020-10-22 18:42:22.351000+00:00,143.11,-50.27,-15.56,330.54,24.98,-73.05
2020-10-22 18:42:22.471000+00:00,138.94,-51.62,-12.86,327.83,22.4,-75.42
2020-10-22 18:42:22.618000+00:00,140.42,-46.31,-17.06,325.56,21.2,-71.97
2020-10-22 18:42:22.682000+00:00,142.71,-30.49,-23.8,329.06,22.63,-58.2
2020-10-22 18:42:22.799000+00:00,145.94,-13.58,-31.36,336.31,31.8,-38.65
2020-10-22 18:42:22.910000+00:00,141.46,-3.35,-30.36,338.55,32.77,-24.68
2020-10-22 18:42:23.007000+00:00,143.87,-11.32,-32.45,337.2,38.41,-30.5
2020-10-22 18:42:23.184000+00:00,153.84,-40.17,-27.73,325.08,41.14,-58.18
2020-10-22 18:42:23.292000+00:00,151.11,-44.83,-21.59,320.76,40.4,-60.58
2020-10-22 18:42:23.495000+00:00,151.38,-41.88,-15.44,324.06,37.28,-58.06
2020-10-22 18:42:23.497000+00:00,154.5,-46.38,-8.44,327.75,33.35,-63.52
2020-10-22 18:42:23.722000+00:00,158.08,-63.28,-1.58,334.75,19.46,-79.83
2020-10-22 18:42:23.823000+00:00,158.06,-66.75,-1.64,339.55,15.24,-82.61
2020-10-22 18:42:23.951000+00:00,156.12,-65.05,-0.83,344.71,14.01,-82.44
2020-10-22 18:42:24.069000+00:00,146.9,-68.52,9.45,348.64,11.62,-85.09
2020-10-22 18:42:24.095000+00:00,140.26,-71.61,14.08,351.46,10.14,-88.23
2020-10-22 18:42:24.192000+00:00,132.74,-72.11,16.39,351.5,9.47,-90.63
2020-10-22 18:42:24.269000+00:00,139.61,-68.35,3.94,351.74,12.3,-88.57
2020-10-22 18:42:24.398000+00:00,139.23,-69.07,0.58,351.0,14.25,-89.18
2020-10-22 18:42:24.630000+00:00,109.07,-61.65,28.72,352.69,3.53,-84.08
2020-10-22 18:42:24.690000+00:00,110.58,-58.0,24.19,351.62,3.17,-80.71
2020-10-22 18:42:24.779000+00:00,117.8,-52.32,9.49,345.95,8.5,-77.23
2020-10-22 18:42:24.900000+00:00,119.68,-50.93,-0.57,338.91,13.77,-75.91
2020-10-22 18:42:24.988000+00:00,119.49,-46.63,-7.16,332.31,16.42,-73.22
2020-10-22 18:42:25.079000+00:00,122.87,-40.04,-13.72,329.11,17.15,-67.6
2020-10-22 18:42:25.210000+00:00,130.27,-29.0,-21.61,331.06,21.64,-57.73
2020-10-22 18:42:25.318000+00:00,141.18,-17.89,-31.31,341.6,32.72,-45.52
2020-10-22 18:42:25.411000+00:00,139.64,-7.59,-33.53,346.22,35.51,-31.75
2020-10-22 18:42:25.531000+00:00,138.45,-6.42,-31.32,345.19,34.92,-29.6
2020-10-22 18:42:25.619000+00:00,143.07,-22.96,-35.52,336.39,42.26,-45.03
2020-10-22 18:42:25.740000+00:00,143.57,-33.63,-30.84,329.63,41.9,-53.72
2020-10-22 18:42:25.835000+00:00,140.32,-38.64,-18.82,327.67,36.45,-56.52
2020-10-22 18:42:25.891000+00:00,137.07,-43.1,-9.59,325.99,32.71,-58.47
2020-10-22 18:42:26.040000+00:00,136.64,-41.01,-3.36,326.41,30.22,-55.51
2020-10-22 18:42:26.316000+00:00,143.03,-39.3,0.79,333.28,25.29,-54.57
2020-10-22 18:42:26.328000+00:00,147.94,-57.72,-3.45,329.84,23.86,-74.68
2020-10-22 18:42:26.584000+00:00,148.81,-69.62,-6.46,328.57,17.18,-88.51
2020-10-22 18:42:26.590000+00:00,141.4,-71.18,4.92,334.18,13.0,-89.98
2020-10-22 18:42:26.732000+00:00,148.19,-67.35,0.56,342.37,11.3,-86.57
2020-10-22 18:42:26.732000+00:00,141.68,-66.06,12.28,349.63,5.99,-84.82
2020-10-22 18:42:26.851000+00:00,139.1,-63.79,16.97,356.28,1.17,-84.36
2020-10-22 18:42:26.940000+00:00,131.23,-62.27,25.23,0.79,-3.47,-86.32
2020-10-22 18:42:27.119000+00:00,119.29,-60.87,36.53,3.13,-7.53,-88.71
2020-10-22 18:42:27.173000+00:00,114.05,-57.28,38.33,4.83,-10.29,-89.04
2020-10-22 18:42:27.262000+00:00,111.84,-52.23,36.14,6.45,-15.01,-89.14
2020-10-22 18:42:27.359000+00:00,116.77,-47.08,21.27,4.02,-16.52,-85.44
2020-10-22 18:42:27.505000+00:00,119.39,-46.11,14.06,357.07,-10.33,-80.46
2020-10-22 18:42:27.563000+00:00,121.88,-46.0,2.9,348.41,-1.56,-77.99
2020-10-22 18:42:27.739000+00:00,127.15,-44.1,-8.7,347.06,-0.37,-81.37
2020-10-22 18:42:27.939000+00:00,144.34,-39.0,-27.57,355.84,8.5,-76.06
2020-10-22 18:42:28.051000+00:00,156.0,-34.23,-42.17,357.21,22.94,-68.04
2020-10-22 18:42:28.259000+00:00,152.33,-17.75,-32.15,357.1,20.86,-47.28
2020-10-22 18:42:28.319000+00:00,145.89,-17.37,-30.58,349.19,21.67,-44.06
2020-10-22 18:42:28.440000+00:00,141.42,-13.81,-25.03,344.53,19.78,-40.3
2020-10-22 18:42:28.528000+00:00,138.61,-7.29,-27.91,342.67,20.98,-34.78
2020-10-22 18:42:28.649000+00:00,141.27,-2.36,-29.03,347.13,23.79,-28.16
2020-10-22 18:42:28.799000+00:00,145.43,-7.18,-26.51,349.72,23.05,-30.78
2020-10-22 18:42:28.983000+00:00,149.48,-13.62,-31.78,344.39,36.3,-32.46
2020-10-22 18:42:29.070000+00:00,152.44,-22.87,-42.06,335.21,45.66,-45.28
2020-10-22 18:42:29.134000+00:00,151.67,-27.31,-47.62,322.83,49.76,-55.63
2020-10-22 18:42:29.289000+00:00,146.96,-26.96,-44.54,318.5,48.28,-54.77
2020-10-22 18:42:29.359000+00:00,145.54,-33.1,-38.91,315.66,44.47,-58.09
2020-10-22 18:42:29.470000+00:00,143.78,-39.59,-36.81,310.72,43.84,-62.44
2020-10-22 18:42:29.552000+00:00,142.51,-43.58,-33.4,308.65,42.82,-63.79
2020-10-22 18:42:29.650000+00:00,141.58,-40.78,-27.43,309.84,41.0,-59.82
2020-10-22 18:42:29.778000+00:00,142.82,-39.04,-22.95,310.48,40.22,-58.57
2020-10-22 18:42:29.907000+00:00,147.27,-44.24,-21.04,309.64,39.43,-65.22
2020-10-22 18:42:29.939000+00:00,155.16,-56.53,-26.42,305.35,36.68,-78.47
2020-10-22 18:42:30.090000+00:00,154.83,-66.08,-26.18,300.58,28.54,-90.23
2020-10-22 18:42:30.165000+00:00,126.28,-59.54,3.63,304.52,11.8,-86.18
2020-10-22 18:42:30.303000+00:00,104.66,-51.61,18.58,302.02,-4.19,-83.44
2020-10-22 18:42:30.387000+00:00,93.63,-38.56,24.98,298.57,-19.44,-78.0
2020-10-22 18:42:30.487000+00:00,88.99,-28.67,31.87,295.31,-30.25,-71.75
2020-10-22 18:42:30.604000+00:00,87.63,-25.49,32.13,291.05,-31.17,-66.64
2020-10-22 18:42:30.725000+00:00,91.16,-22.21,23.12,287.69,-25.73,-59.54
2020-10-22 18:42:30.749000+00:00,94.72,-20.31,16.38,289.23,-22.04,-59.16
2020-10-22 18:42:30.895000+00:00,97.17,-20.34,18.86,290.15,-21.81,-57.47
2020-10-22 18:42:31.002000+00:00,117.78,-12.67,8.81,304.43,-8.57,-42.62
2020-10-22 18:42:31.078000+00:00,143.6,8.1,-7.52,329.32,7.57,-16.99
2020-10-22 18:42:31.200000+00:00,142.63,16.53,-25.49,333.78,15.97,-6.19
2020-10-22 18:42:31.288000+00:00,141.07,18.49,-19.8,327.58,8.04,-11.06
2020-10-22 18:42:31.378000+00:00,137.48,19.33,-25.59,323.73,12.41,-9.91
2020-10-22 18:42:31.499000+00:00,143.07,22.71,-22.59,328.16,6.92,-6.33
2020-10-22 18:42:31.559000+00:00,166.18,35.39,-7.91,344.04,-10.12,4.43
2020-10-22 18:42:31.681000+00:00,199.65,42.89,7.27,10.31,-32.99,10.26
2020-10-22 18:42:31.799000+00:00,209.92,30.8,3.78,30.22,-25.1,-0.96
2020-10-22 18:42:32.559000+00:00,188.96,23.87,-9.76,14.41,-5.36,0.92
2020-10-22 18:42:32.578000+00:00,170.99,-1.89,-23.55,356.82,22.99,-13.74
2020-10-22 18:42:32.581000+00:00,164.93,-19.12,-30.55,339.4,35.68,-30.72
2020-10-22 18:42:32.619000+00:00,167.38,-30.6,-29.99,331.88,32.88,-46.35
2020-10-22 18:42:32.639000+00:00,169.73,-37.47,-29.21,329.12,28.62,-55.31
2020-10-22 18:42:32.668000+00:00,162.44,-34.04,-18.77,330.0,18.31,-53.38
2020-10-22 18:42:32.693000+00:00,156.16,-37.14,-8.31,331.75,6.97,-56.65
2020-10-22 18:42:32.721000+00:00,153.61,-34.13,-3.12,333.52,-0.81,-58.84
2020-10-22 18:42:32.779000+00:00,153.79,-28.41,-4.28,338.0,-4.92,-57.52
2020-10-22 18:42:32.792000+00:00,158.01,-33.06,-7.42,337.69,0.97,-64.4
2020-10-22 18:42:32.892000+00:00,171.6,-38.63,-13.33,348.78,7.46,-66.55
2020-10-22 18:42:33.030000+00:00,184.04,-34.16,-4.18,8.24,-0.82,-60.18
2020-10-22 18:42:33.239000+00:00,212.64,-4.99,18.73,39.6,-38.28,-40.89
2020-10-22 18:42:33.391000+00:00,220.08,-0.5,13.5,43.25,-39.79,-37.08
2020-10-22 18:42:33.392000+00:00,216.63,-2.08,-1.14,35.03,-25.89,-30.11
2020-10-22 18:42:33.553000+00:00,208.12,1.98,-18.24,23.54,-0.38,-17.21
2020-10-22 18:42:33.618000+00:00,204.22,3.33,-24.09,18.42,6.29,-13.76
2020-10-22 18:42:33.922000+00:00,169.56,-30.01,-4.14,340.12,8.58,-41.57
2020-10-22 18:42:33.989000+00:00,161.09,-19.13,-12.88,332.02,18.14,-30.53
2020-10-22 18:42:34.138000+00:00,156.23,-4.6,-25.04,332.54,29.19,-12.21
2020-10-22 18:42:34.199000+00:00,158.56,2.56,-30.82,339.51,30.7,-4.45
2020-10-22 18:42:34.381000+00:00,162.08,0.94,-35.87,339.95,34.48,-8.92
2020-10-22 18:42:34.439000+00:00,176.19,-19.02,-48.79,335.02,49.46,-36.17
2020-10-22 18:42:34.498000+00:00,179.53,-36.78,-48.68,315.33,47.92,-65.15
2020-10-22 18:42:34.658000+00:00,173.37,-42.93,-44.72,308.52,46.95,-69.88
2020-10-22 18:42:34.725000+00:00,165.77,-37.71,-36.63,312.94,44.79,-61.02
2020-10-22 18:42:34.911000+00:00,620.63,-35.59,311.5,42.28,-55.95,0.0
2020-10-22 18:42:34.925000+00:00,153.73,-24.87,-32.93,313.08,39.17,-43.62
2020-10-22 18:42:35.008000+00:00,147.12,-13.25,-33.61,316.14,40.06,-28.54
2020-10-22 18:42:35.133000+00:00,142.57,-17.62,-36.59,307.67,46.88,-33.3
2020-10-22 18:42:35.251000+00:00,136.29,-21.71,-38.91,295.73,51.45,-37.86
2020-10-22 18:42:35.309000+00:00,133.24,-12.44,-40.69,302.93,54.96,-24.22
2020-10-22 18:42:35.459000+00:00,134.39,-7.51,-46.26,310.21,60.13,-16.04
2020-10-22 18:42:35.549000+00:00,138.11,-7.44,-46.56,313.46,61.52,-15.68
2020-10-22 18:42:35.740000+00:00,137.55,-4.29,-45.8,318.26,60.38,-8.41
2020-10-22 18:42:35.750000+00:00,135.79,3.58,-47.19,329.86,59.15,9.33
2020-10-22 18:42:35.821000+00:00,138.39,11.26,-49.38,343.64,55.88,24.44
2020-10-22 18:42:35.942000+00:00,150.82,9.63,-40.35,348.03,49.2,18.15
2020-10-22 18:42:36.058000+00:00,165.38,-4.92,-29.37,338.77,39.71,-11.74
